Name,Platform,Format,Now Playing,Ownership Status,Progress Status
Geneforge 5: Overthrow,PC / Windows,Digital (GOG),No,Owned,Incomplete
Giana Sisters: Twisted Dreams,PC / Windows,Digital (Steam),No,Owned,Never Playing
Giants: Citizen Kabuto,PC / Windows,Digital (GOG),No,Owned,Incomplete
Gish,PC / Windows,Digital (Steam),No,Owned,Finished
Gone Home,PC / Windows,Digital (Steam),No,Owned,Completionated
Gratuitous Space Battles,PC / Windows,Digital (Steam),No,Owned,Finished
Greed Corp,PC / Windows,Digital (Steam),No,Owned,Never Playing
Grid 2,PC / Windows,Digital (Steam),No,Owned,Finished
Grid Autosport,PC / Windows,Digital (Steam),No,Owned,Incomplete
Grim Fandango Remastered,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Guacamelee!,PC / Windows,Digital (Steam),No,Owned,Completionated
Gunpoint,PC / Windows,Digital (Steam),No,Owned,Incomplete
"Hack, Slash, Loot",PC / Windows,Digital (Steam),No,Owned,Finished
Half-Life 2,PC / Windows,Digital (Steam),No,Owned,Completionated
Half-Life 2: Episode One,PC / Windows,Digital (Steam),No,Owned,Finished
Half-Life 2: Episode Two,PC / Windows,Digital (Steam),No,Owned,Finished
Hammerfight,PC / Windows,Digital (Steam),No,Owned,Never Playing
Hammerwatch,PC / Windows,Digital (Steam),No,Owned,Finished
Hand of Fate,PC / Windows,Digital (Steam),No,Owned,Incomplete
Her Story,PC / Windows,Digital (Steam),No,Owned,Finished
Hero Academy,PC / Windows,Digital (Steam),No,Owned,Incomplete
Hexcells,PC / Windows,Digital (Steam),No,Owned,Completionated
Hexcells Infinite,PC / Windows,Digital (Steam),No,Owned,Finished
Hexcells Plus,PC / Windows,Digital (Steam),No,Owned,Completionated
Home,PC / Windows,Digital (Steam),No,Owned,Completionated
Hotline Miami,PC / Windows,Digital (Steam),No,Owned,Retired
Human Resource Machine,PC / Windows,Digital (Steam),No,Owned,Incomplete
Husk,PC / Windows,Digital (Steam),No,Owned,Never Playing
Incredipede,PC / Windows,Digital (Steam),No,Owned,Finished
Indiana Jones and the Fate of Atlantis,PC / Windows,Digital (GOG),No,Owned,Incomplete
Insanely Twisted Shadow Planet,PC / Windows,Digital (Steam),No,Owned,Incomplete
Inside,PC / Windows,Digital (Steam),No,Owned,Finished
Insurgency,PC / Windows,Digital (Steam),No,Owned,Never Playing
Interplanetary,PC / Windows,Digital (Steam),No,Owned,Never Playing
Intrusion 2,PC / Windows,Digital (Steam),No,Owned,Incomplete
"Invisible, Inc.",PC / Windows,Digital (GOG),No,Owned,Incomplete
J.U.L.I.A.: Among the Stars,PC / Windows,Digital (Steam),No,Owned,Incomplete
Jack Lumber,PC / Windows,Digital (Steam),No,Owned,Never Playing
Jamestown: Legend of the Lost Colony,PC / Windows,Digital (Steam),No,Owned,Retired
Jazzpunk,PC / Windows,Digital (Steam),No,Owned,Finished
Joe Danger 2: The Movie,PC / Windows,Digital (Steam),No,Owned,Never Playing
Kairo,PC / Windows,Digital (Steam),No,Owned,Incomplete
KAMI,PC / Windows,Digital (Steam),No,Owned,Retired
Kentucky Route Zero,PC / Windows,Digital (Steam),No,Owned,Incomplete
Kerbal Space Program,PC / Windows,Digital (Steam),No,Owned,Finished
Killing Floor,PC / Windows,Digital (Steam),No,Owned,Incomplete
Kingdom Rush,PC / Windows,Digital (Steam),No,Owned,Incomplete
Knight Squad,PC / Windows,Digital (Steam),No,Owned,Incomplete
Knights of Pen and Paper +1,PC / Windows,Digital (Steam),No,Owned,Incomplete
L.A. Noire,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
La-Mulana,PC / Windows,Digital (Steam),No,Owned,Incomplete
Lara Croft and the Guardian of Light,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Legend of Dungeon,PC / Windows,Digital (Steam),No,Owned,Never Playing
Legend of Grimrock,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Legend of Grimrock II,PC / Windows,Digital (Steam),No,Owned,Incomplete
Lethal League,PC / Windows,Digital (Steam),No,Owned,Finished
LightFish,PC / Windows,Digital (Steam),No,Owned,Never Playing
Lilly Looking Through,PC / Windows,Digital (Steam),No,Owned,Incomplete
Limbo,PC / Windows,Digital (Steam),No,Owned,Finished
Little Inferno,PC / Windows,Digital (Steam),No,Owned,Completionated
Lone Survivor,PC / Windows,Digital (Steam),No,Owned,Never Playing
Lovers in a Dangerous Spacetime,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Lugaru HD,PC / Windows,Digital (Steam),No,Owned,Finished
Lunar Flight,PC / Windows,Digital (Steam),No,Owned,Finished
Lux Delux,PC / Windows,Digital (Steam),No,Owned,Never Playing
Lyne,PC / Windows,Digital (Steam),No,Owned,Never Playing
Machinarium,PC / Windows,Digital (Steam),No,Owned,Completionated
Magicka,PC / Windows,Digital (Steam),No,Owned,Incomplete
Mark of the Ninja,PC / Windows,Digital (Steam),No,Owned,Incomplete
Martian Memorandum,PC / Windows,Digital (Steam),No,Owned,Never Playing
Master of Orion (1993),PC / Windows,Digital (GOG),No,Owned,Incomplete
Master of Orion II: Battle at Antares,PC / Windows,Digital (GOG),No,Owned,Incomplete
McPixel,PC / Windows,Digital (Steam),No,Owned,Incomplete
Mean Streets,PC / Windows,Digital (Steam),No,Owned,Incomplete
Mercenary Kings,PC / Windows,Digital (Steam),No,Owned,Incomplete
Middle-earth: Shadow of Mordor,PC / Windows,Digital (Steam),No,Owned,Finished
Mini Metro,PC / Windows,Digital (Steam),No,Owned,Finished
MirrorMoon EP,PC / Windows,Digital (Steam),No,Owned,Incomplete
Missing: An Interactive Thriller - Episode One,PC / Windows,Digital (Steam),No,Owned,Incomplete
Monaco: What's Yours Is Mine,PC / Windows,Digital (Steam),No,Owned,Finished
Monster Loves You!,PC / Windows,Digital (Steam),No,Owned,Incomplete
Multiwinia,PC / Windows,Digital (Steam),No,Owned,Never Playing
Mushroom 11,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
N++,PC / Windows,Digital (Steam),No,Owned,Incomplete
Never Alone,PC / Windows,Digital (Steam),No,Owned,Finished
Neverending Nightmares,PC / Windows,Digital (Steam),No,Owned,Never Playing
Nidhogg,PC / Windows,Digital (Steam),No,Owned,Finished
NightSky,PC / Windows,Digital (Steam),No,Owned,Finished
Nuclear Throne,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Octodad: Dadliest Catch,PC / Windows,Digital (Steam),No,Owned,Finished
Odallus: The Dark Call,PC / Windows,Digital (Steam),No,Owned,Incomplete
Oil Rush,PC / Windows,Digital (Steam),No,Owned,Never Playing
Okhlos,PC / Windows,Digital (Steam),No,Owned,Incomplete
OlliOlli,PC / Windows,Digital (Steam),No,Owned,Finished
Oniken,PC / Windows,Digital (Steam),No,Owned,Incomplete
